reviewId,text,score,thumbsUpCount,replyContent,appVersion
ebdb83b1-a636-4de7-8a88-ec79199fd3ee,Cukup membantu...untuk pembayaran pengiriman tolong di sediakan bayar cash on delivery,3,0,"Hai iim Dulhakim! Mohon maaf atas ketidaknyamanannya. Untuk dapat kami bantu lebih lanjut terkait kendala yang kamu alami, silakan hubungi CS kami melalui nomor tlp +6221-5095-9900 atau email help@halodoc.com. Terima kasih sudah menggunakan Halodoc.",23.2
63ac2aa0-d54f-44f8-9dd3-419e3b2fdb1f,Dokter jeffry good,5,0,Hai Sinta Mustika sari! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!,23.2
d5d4d64c-5df5-4018-a21b-9912e0e65c59,Mantap,5,0,Hai Niam Samdugrez! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!,23.2
0ac0f3d1-5259-458c-a9f0-990695dec503,sangat membantu untuk konsultasi.,5,0,Hai Putri Lhena! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!,23.3
28975599-7033-4815-a7d3-f3d0eef1f890,Bagus,4,0,Hai Eny Yuliyanti! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!,23.2
c4ab0100-8d93-4c47-800e-4ae0a5e39fa3,"Cepat, terjngkau",5,0,Hai Gema Refaimasiswa! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!,23.2
d76b7489-0164-4343-b908-3194caf88fb2,"Sangat mempermudah, apalagi kalau tinggal di desa yg jauh dengan dokter spesialis",5,0,Hai Sinta Raranta! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!,23.2
090503ac-d9fa-4a1c-b956-d9e4914c013a,Menyenangkan,5,0,Hai Ari Susanti! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!,23.2
8213f15b-bf33-4eff-bab1-43c3a3f645b6,sangat ramah dan proses cepat,5,0,Hai wikhen Tan! Terima kasih sudah menggunakan Halodoc. Jangan lupa untuk jaga kesehatanmu dengan Halodoc. Semoga kamu sehat selalu!,
d6b8e18a-aa38-4cc0-b2df-f512ec4d8e25,"saldo di halodoc tidak bisa ditarkk ke rekening, untuk CS nya slow sekaliii",1,0,"Hai Mai Linda putri! Mohon maaf atas ketidaknyamanannya. Untuk dapat kami bantu lebih lanjut terkait kendala yang kamu alami, silakan hubungi CS kami melalui nomor tlp +6221-5095-9900 atau email help@halodoc.com. Terima kasih sudah menggunakan Halodoc.",23.2
